sno	Collected_Protein_name	Uniprot_Name	Uniprot_ID	Approved_Symbol	Gene_Identifier	Approved_Protein_Name	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
350	D3ZIU9	D3ZIU9_RAT	D3ZIU9	LOC108350839	RGD:1587112	HMG box domain-containing protein	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
351	D3ZUL3	D3ZUL3_RAT	D3ZUL3	Col6a1	RGD:1565398	collagen type VI alpha 1 chain	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
352	AL3A1	AL3A1_RAT	P11883	Aldh3a1	RGD:2088	Aldehyde dehydrogenase, dimeric NADP-preferring	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
353	AL3A1	AL3A1_RAT	P11883	Aldh3a1	RGD:2088	Aldehyde dehydrogenase, dimeric NADP-preferring	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
354	ALBU	ALBU_RAT	P02770	Alb	RGD:2085	Albumin	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
355	ALBU	ALBU_RAT	P02770	Alb	RGD:2085	Albumin	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
356	D3ZVK7	D3ZVK7_RAT	D3ZVK7	H2ac4	RGD:1560965	Histone H2A	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
357	CATA	CATA_RAT	P04762	Cat	RGD:2279	Catalase	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
358	GSTM1	GSTM1_RAT	P04905	Gstm1	RGD:2755	Glutathione S-transferase Mu 1	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
359	HBB1	HBB1_RAT	P02091	Hbb	RGD:2783	Hemoglobin subunit beta-1	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
360	HBB1	HBB1_RAT	P02091	Hbb	RGD:2783	Hemoglobin subunit beta-1	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
361	ADT2	ADT2_RAT	Q09073	Slc25a5	RGD:6503504	ADP/ATP translocase 2	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
362	PGS2	PGS2_RAT	Q01129	Dcn	RGD:61895	Decorin	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
363	MYL1	MYL1_RAT	P02600	Myl1	RGD:1598796	Myosin light chain 1/3, skeletal muscle isoform	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
364	MYL1	MYL1_RAT	P02600	Myl1	RGD:1598796	Myosin light chain 1/3, skeletal muscle isoform	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
365	TPM1	TPM1_RAT	P04692	Tpm1	RGD:3898	Tropomyosin alpha-1 chain	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
366	APOA1	APOA1_RAT	P04639	Apoa1	RGD:2130	Apolipoprotein A-I	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
367	APOA1	APOA1_RAT	P04639	Apoa1	RGD:2130	Apolipoprotein A-I	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
368	F1LMU0	F1LMU0_RAT	F1LMU0	Myh4	RGD:3139	Myosin heavy chain 4	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
369	ATPB	ATPB_RAT	P10719	Atp5f1b	RGD:621368	ATP synthase subunit beta, mitochondrial	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
370	AT2A1	AT2A1_RAT	Q64578	Atp2a1	RGD:7738418	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
371	B5DF65	B5DF65_RAT	B5DF65	Blvrb	RGD:1306080	Biliverdin reductase B	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
372	PRELP	PRELP_RAT	Q9EQP5	Prelp	RGD:620226	Prolargin	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
373	PRELP	PRELP_RAT	Q9EQP5	Prelp	RGD:620226	Prolargin	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
374	HS90B	HS90B_RAT	P34058	Hsp90ab1	RGD:1303075	Heat shock protein HSP 90-beta	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
375	HS90B	HS90B_RAT	P34058	Hsp90ab1	RGD:1303075	Heat shock protein HSP 90-beta	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
376	MYL6	MYL6_RAT	Q64119	Myl6	RGD:1305620	Myosin light polypeptide 6	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
377	K2C4	K2C4_RAT	Q6IG00	Krt4	RGD:1359272	Keratin, type II cytoskeletal 4	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
378	K2C5	K2C5_RAT	Q6P6Q2	Krt5	RGD:727894	Keratin, type II cytoskeletal 5	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
379	K2C6A	K2C6A_RAT	Q4FZU2	Krt6a	RGD:1588056	Keratin, type II cytoskeletal 6A	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
380	Contamit	OGA_RAT	Q8VIJ5	Oga	RGD:621077	Protein O-GlcNAcase	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
381	KCRM	KCRM_RAT	P00564	Ckm	RGD:2358	Creatine kinase M-type	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
382	KCRM	KCRM_RAT	P00564	Ckm	RGD:2358	Creatine kinase M-type	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
383	CAH1	CAH1_RAT	B0BNN3	Car1	RGD:1309780	Carbonic anhydrase 1	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
384	CRGD	CRGD_RAT	P10067	Crygd	RGD:2422	Gamma-crystallin D	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
385	CRGD	CRGD_RAT	P10067	Crygd	RGD:2422	Gamma-crystallin D	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
386	CAH2	CAH2_RAT	P27139	Car2	RGD:2240	Carbonic anhydrase 2	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
387	D3ZAY2	D3ZM69_RAT	D3ZM69	Epb41l2	RGD:1563977	erythrocyte membrane protein band 4.1-like 2	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
388	D3ZIU9	D3ZIU9_RAT	D3ZIU9	LOC108350839	RGD:1587112	HMG box domain-containing protein	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
389	VDAC1	VDAC1_RAT	Q9Z2L0	Vdac1	RGD:621575	Voltage-dependent anion-selective channel protein 1	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
390	O88752	O88752_RAT	O88752	Hbe1	RGD:1305115	Epsilon 1 globin	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
391	D3ZUL3	D3ZUL3_RAT	D3ZUL3	Col6a1	RGD:1565398	collagen type VI alpha 1 chain	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
392	D3ZVB7	D3ZVB7_RAT	D3ZVB7	Ogn	RGD:1308171	Osteoglycin	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
393	D3ZVB7	D3ZVB7_RAT	D3ZVB7	Ogn	RGD:1308171	Osteoglycin	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
394	D3ZVD7	D3ZVD7_RAT	D3ZVD7	Kera	RGD:1305816	Keratocan	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
395	D3ZVD7	D3ZVD7_RAT	D3ZVD7	Kera	RGD:1305816	Keratocan	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
396	TERA	TERA_RAT	P46462	Vcp	RGD:621595	Transitional endoplasmic reticulum ATPase	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
397	F1LNH3	F1LNH3_RAT	F1LNH3	Col6a2	RGD:1305585	Collagen type VI alpha 2 chain	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
398	D3ZXP3	D3ZXP3_RAT	D3ZXP3	H2ax	RGD:1566119	Histone H2A	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
399	CO1A1	CO1A1_RAT	P02454	Col1a1	RGD:61817	Collagen alpha-1(I) chain	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
400	CO1A2	CO1A2_RAT	P02466	Col1a2	RGD:621351	Collagen alpha-2(I) chain	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
401	PGS2	PGS2_RAT	Q01129	Dcn	RGD:61895	Decorin	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
402	D4AC23	D4AC23_RAT	D4AC23	Cct7	RGD:1306422	T-complex protein 1 subunit eta	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
403	F8WG17	TNNI2_RAT	P27768	Tnni2	RGD:62050	Troponin I, fast skeletal muscle	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
404	FIBG	FIBG_RAT	P02680	Fgg	RGD:2613	Fibrinogen gamma chain	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
405	TPM1	TPM1_RAT	P04692	Tpm1	RGD:3898	Tropomyosin alpha-1 chain	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
406	K6PL	PFKAL_RAT	P30835	Pfkl	RGD:3311	6-phosphofructokinase, liver type	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
407	NDRG1	NDRG1_RAT	Q6JE36	Ndrg1	RGD:1307303	Protein NDRG1	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
408	F1LMU0	F1LMU0_RAT	F1LMU0	Myh4	RGD:3139	Myosin heavy chain 4	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
409	Q63910	Q63910_RAT	Q63910	Hba-a3	RGD:1359209	Alpha globin	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
410	PRDX2	PRDX2_RAT	P35704	Prdx2	RGD:3838	Peroxiredoxin-2	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
411	K1C13	K1C13_RAT	Q6IFV4	Krt13	RGD:1302937	Keratin, type I cytoskeletal 13	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
412	K1C14	K1C14_RAT	Q6IFV1	Krt14	RGD:1307463	Keratin, type I cytoskeletal 14	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
413	K1C15	K1C15_RAT	Q6IFV3	Krt15	RGD:1303044	Keratin, type I cytoskeletal 15	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
414	F8WG17	TNNI2_RAT	P27768	Tnni2	RGD:62050	Troponin I, fast skeletal muscle	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
415	PRVA	PRVA_RAT	P02625	Pvalb	RGD:3457	Parvalbumin alpha	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
416	FMOD	FMOD_RAT	P50609	Fmod	RGD:619769	Fibromodulin	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
417	FMOD	FMOD_RAT	P50609	Fmod	RGD:619769	Fibromodulin	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
418	ENOB	ENOB_RAT	P15429	Eno3	RGD:2555	Beta-enolase	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
419	ENOB	ENOB_RAT	P15429	Eno3	RGD:2555	Beta-enolase	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
